Plataform,Institution,Title,Level,Price,Language,Rating,n_Students,Type,Subject,Certificate
EDX,Universidad Autónoma de Madrid,Introducción a la Regulación Emocional basada en Mindfulness,Introductory,0,Español,0.0,20634,Self-paced on your time,Health & Safety,49
EDX,Rochester Institute of Technology,Design Thinking Fundamentals,Intermediate,0,English,0.0,56446,Self-paced on your time,Business & Management,299
EDX,Universitat Politècnica de Valencia,Basic Spanish 3: Getting there,Introductory,0,English,0.0,17569,Self-paced on your time,Language,50
EDX,Universidad Nacional de Córdoba,Mi propia huerta orgánica,Introductory,0,Español,0.0,11346,Self-paced on your time,Biology & Life Sciences,29
EDX,Universitat Politècnica de Valencia,Sustainability in Architecture: An Interdisciplinary Introduction,Intermediate,0,English,0.0,31352,Self-paced on your time,Architecture,50
EDX,Inter-American Development Bank,Gestión de riesgos en proyectos de desarrollo,Intermediate,0,Español,0.0,47676,Self-paced on your time,Business & Management,25
EDX,The University of Michigan,Python Data Structures,Introductory,0,English,0.0,36369,Self-paced on your time,Computer Science,49
EDX,Massachusetts Institute of Technology,The Science and Business of Biotechnology,Intermediate,0,English,0.0,17039,Self-paced on your time,Business & Management,49
EDX,Imperial College Business School-Imperial College London,Finance Essentials,Introductory,0,English,0.0,63666,Self-paced on your time,Business & Management,79
EDX,Curtin University,Introduction to the Internet of Things (IoT),Introductory,0,English,0.0,89421,Self-paced on your time,Computer Science,149
EDX,Curtin University,'Talk to me': Improving mental health and suicide prevention in young adults,Introductory,0,English,0.0,11481,Self-paced on your time,Health & Safety,139
